"K","14467"
"Fullmetal Alchemist: Brotherhood","5114"
"Death Note","1535"
"Sword Art Online","11757"
"Spirited Away","199"
"Attack on Titan","16498"
"Phantom: Requiem for the Phantom","5682"
"Black Butler","4898"
"Black Butler 2","6707"
"Kill La Kill","18679"
"Deadman Wonderland","6880"
"Girls und Panzer","14131"
"Death Parade","28223"
"One-Punch Man","30276"
"Parasyte -the maxim-","22535"
"Log Horizon","17265"
"GATE","28907"
"Psycho-Pass","13601"
"Fate/stay night","356"
"Trigun","6"
"Monster Musume no Iru Nichijou","30307"
"No Game No Life","19815"
"Overlord","29803"
"ERASED","31043"
"Ajin: Demi-Human","31580"
"Plastic Memories","27775"
"God Eater","27631"
"Knights of Sidonia","19775"
"Sword Art Online II","21881"
"Anohana: The Flower We Saw That Day","9989"
"When They Cry: Higurashi","934"
"Magical Witch Punie-chan","933"
"Re:ZERO -Starting Life in Another World-","31240"
"Ramen Fighter Miki","1738"
"Waiting in the Summer","11433"
"5 Centimeters per Second","1689"
"Voices of a Distant Star","256"
"Future Diary","10620"
"Orange","32729"
"your name.","32281"
"Steins;Gate","9253"
"Shelter","34240"
"Occultic;Nine","32962"
"Steins;Gate: Egoistic Poriomania","10863"
"Gabriel Dropout","33731"
"Scum's Wish","32949"
"Highschool of the Dead","8074"
"Interviews with Monster Girls","33988"
"Youjo Senki: Saga of Tanya the Evil","32615"
"The Ancient Magus' Bride: Those Awaiting a Star","32902"
"Granblue Fantasy The Animation","31629"
"Code Geass: Lelouch of the Rebellion","1575"
"Kabaneri of the Iron Fortress","28623"
"The Girl Who Leapt Through Time","2236"
"Charlotte","28999"
"Angel Beats!","6547"
"Assassination Classroom","24833"
"Cowboy Bebop","1"
"Little Witch Academia TV","33489"
"Akikan!","5112"
"Akira","47"
"Ergo Proxy","790"
"Kizumonogatari Movie 1: Tekketsu","9260"
"Kizumonogatari Movie 2: Nekketsu","31757"
"Love, Chunibyo & Other Delusions!","14741"
"Fullmetal Alchemist","121"
"Gintama.","34096"
"Valkyria Chronicles","5507"
"Youjo Shenki","34742"
"My Hero Academia","31964"
"Miss Kobayashi's Dragon Maid","33206"
"Attack on Titan 2nd Season","25777"
"Code Geass: Lelouch of the Rebellion R2","2904"
"Hunter x Hunter (2011)","11061"
"A Silent Voice","28851"
"Wolf Children","12355"
"Your lie in April","23273"
"JoJo's Bizarre Adventure (2012)","14719"
"High School Fleet","31500"
"Re:Creators","34561"
"Rage of Bahamut: Virgin Soul","30736"
"My Hero Academia 2","33486"
"Quan Zhi Gao Shou","33926"
"Love Tyrant","32262"
"Alice & Zouroku","34350"
"Initial D","185"
"Nodame Cantabile","1698"
"Yuri!!! on Ice","32995"
"Food Wars! Shokugeki no Souma","28171"
"Initial D Second Stage","186"
"Ghost in the Shell","43"
"Kizumonogatari Movie 3: Reiketsu","31758"
"Bakemonogatari","5081"
"Nisemonogatari","11597"
"Nekomonogatari (Black)","15689"
"Monogatari Series: Second Season","17074"
"Hanamonogatari","21855"
"Tsukimonogatari","28025"
"Owarimonogatari","31181"
"Koyomimonogatari","32268"
"Bakemonogatari Recap","6948"
"Nisekoimonogatari","30514"
"Redline","6675"
"The Boy and the Beast","28805"
"Patema Inverted","12477"
"I've Always Liked You","31245"
"Steins;Gate Movie: Load Region of Deja Vu","11577"
"Colorful (2010)","8142"
"Haven't You Heard? I'm Sakamoto","32542"
"School-Live!","24765"
"Sweetness & Lightning","32828"
"Gyo","10417"
"Eromanga Sensei","32901"
